mood,mood_english,song_title,label,comment
"late night drive, feeling lonely and nostalgic","late night drive, feeling lonely and nostalgic",Joji - Sanctuary (Official Video),1,
"late night drive, feeling lonely and nostalgic","late night drive, feeling lonely and nostalgic",City Ruins - Rays of Light (NieR：Automata Original Soundtrack)【Audio】,1,
"late night drive, feeling lonely and nostalgic","late night drive, feeling lonely and nostalgic",Visions of Gideon,1,
"late night drive, feeling lonely and nostalgic","late night drive, feeling lonely and nostalgic",aruarian dance,1,
"late night drive, feeling lonely and nostalgic","late night drive, feeling lonely and nostalgic",Hand Covers Bruise (HD) - From the Soundtrack to ＂The Social Network＂,1,
"heartbroken after a breakup, crying alone at night","heartbroken after a
breakup, crying alone at night",Katy Perry - Roar,0,
"heartbroken after a breakup, crying alone at night","heartbroken after a breakup, crying alone at night",City Ruins - Rays of Light (NieR：Automata Original Soundtrack)【Audio】,1,
"heartbroken after a breakup, crying alone at night","heartbroken after a breakup, crying alone at night",Joji - Sanctuary (Official Video),1,
"heartbroken after a breakup, crying alone at night","heartbroken after a breakup, crying alone at night",Bruno Mars - Just The Way You Are (Official Music Video),0,
"heartbroken after a breakup, crying alone at night","heartbroken after a breakup, crying alone at night",Joji - SLOW DANCING IN THE DARK,1,
"studying for an exam, anxious but determined","studying for an exam, anxious but determined",Slipknot - Psychosocial [OFFICIAL VIDEO] [HD],0,
"studying for an exam, anxious but determined","studying for an exam, anxious but determined",YOASOBI「アイドル」 Official Music Video,0,
"studying for an exam, anxious but determined","studying for an exam, anxious but determined",Master of Puppets (Remastered),0,
"studying for an exam, anxious but determined","studying for an exam, anxious but determined",Duel of the Fates,1,
"studying for an exam, anxious but determined","studying for an exam, anxious but determined",ChuChu Lovely MuniMuni MuraMura PrinPrin Boron Nururu ReroRero,0,
